reporting_period,organisation,sector,feedback_category,Feedback_channel,status,District,SubDistrict,location,LAT,LON
Mar/19,STC,Food Security and Livelihoods,Request for Assistances,Suggestion Box,Closed,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Food Security and Livelihoods,Request for Assistances,Suggestion Box,Closed,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Food Security and Livelihoods,Thank you note,Suggestion Box,Closed,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Food Security and Livelihoods,Thank you note,Suggestion Box,Closed,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Food Security and Livelihoods,Thank you note,Suggestion Box,Closed,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Food Security and Livelihoods,Request for Assistances,Suggestion Box,Closed,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Food Security and Livelihoods,Thank you note,Suggestion Box,Closed,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Food Security and Livelihoods,Request for Assistances,Suggestion Box,Closed,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Food Security and Livelihoods,Thank you note,Suggestion Box,Closed,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Food Security and Livelihoods,Request for Assistances,Suggestion Box,Closed,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Food Security and Livelihoods,Thank you note,Suggestion Box,Closed,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Food Security and Livelihoods,Thank you note,Suggestion Box,Closed,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Food Security and Livelihoods,Thank you note,Suggestion Box,Closed,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Food Security and Livelihoods,Thank you note,Suggestion Box,Closed,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Food Security and Livelihoods,Information/Report,Suggestion Box,Closed,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Food Security and Livelihoods,Thank you note,Suggestion Box,Closed,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Food Security and Livelihoods,Request for Assistances,Suggestion Box,Closed,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Shelter and NFI,Request for Assistances,Phone Call/Hotline,Closed,Sigi,Kulawi,,-1.511248,119.882325
Mar/19,STC,Shelter and NFI,Request for Assistances,Phone Call/Hotline,Closed,Sigi,Kulawi,,-1.511248,119.882325
Mar/19,STC,Food Security and Livelihoods,Request for Assistances,Suggestion Box,Closed,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Food Security and Livelihoods,Request for Assistances,Suggestion Box,Closed,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Food Security and Livelihoods,Information/Report,Suggestion Box,Closed,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Food Security and Livelihoods,Request for Assistances,Suggestion Box,Closed,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Food Security and Livelihoods,Thank you note,Suggestion Box,Closed,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Food Security and Livelihoods,Request for Assistances,Suggestion Box,Closed,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Food Security and Livelihoods,Request for Assistances,Suggestion Box,Closed,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Food Security and Livelihoods,Information/Report,Suggestion Box,Closed,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Food Security and Livelihoods,Request for Assistances,Suggestion Box,Closed,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Food Security and Livelihoods,Request for Assistances,Suggestion Box,Closed,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Food Security and Livelihoods,Request for Assistances,Suggestion Box,Closed,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Food Security and Livelihoods,Request for Assistances,Suggestion Box,Closed,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Food Security and Livelihoods,Request for Assistances,Suggestion Box,Closed,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Food Security and Livelihoods,Thank you note,Suggestion Box,Closed,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Food Security and Livelihoods,Request for Assistances,Suggestion Box,Closed,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Food Security and Livelihoods,Request for Assistances,Suggestion Box,Closed,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Food Security and Livelihoods,Request for Assistances,Suggestion Box,Closed,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Food Security and Livelihoods,Thank you note,Suggestion Box,Closed,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Food Security and Livelihoods,Request for Assistances,Suggestion Box,Closed,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Shelter and NFI,Request for Assistances,Suggestion Box,Closed,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Food Security and Livelihoods,Request for Assistances,Suggestion Box,Closed,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Food Security and Livelihoods,Request for Assistances,Suggestion Box,Closed,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Food Security and Livelihoods,Information/Report,Suggestion Box,Closed,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Food Security and Livelihoods,Request for Assistances,Suggestion Box,Closed,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Food Security and Livelihoods,Information/Report,Suggestion Box,Closed,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Food Security and Livelihoods,Request for Assistances,Suggestion Box,Closed,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Food Security and Livelihoods,Information/Report,Suggestion Box,Closed,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Food Security and Livelihoods,Request for Assistances,Suggestion Box,Closed,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Food Security and Livelihoods,Request for Assistances,Suggestion Box,Closed,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Food Security and Livelihoods,Request for Assistances,Suggestion Box,Closed,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Food Security and Livelihoods,Information/Report,Suggestion Box,Closed,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Food Security and Livelihoods,Request for Assistances,Suggestion Box,Closed,Sigi,Kulawi,,-1.511248,119.882325
Mar/19,STC,Food Security and Livelihoods,Thank you note,Suggestion Box,Closed,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Food Security and Livelihoods,Information/Report,Suggestion Box,Closed,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Food Security and Livelihoods,Request for Assistances,Suggestion Box,Closed,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Food Security and Livelihoods,Thank you note,Suggestion Box,Closed,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Food Security and Livelihoods,Information/Report,Suggestion Box,Closed,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Food Security and Livelihoods,Information/Report,Suggestion Box,Closed,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Food Security and Livelihoods,Thank you note,Suggestion Box,Closed,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Food Security and Livelihoods,Information/Report,Suggestion Box,Closed,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Food Security and Livelihoods,Thank you note,Suggestion Box,Closed,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Food Security and Livelihoods,Information/Report,Suggestion Box,Closed,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Food Security and Livelihoods,Thank you note,Suggestion Box,Closed,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Food Security and Livelihoods,Request for Assistances,Suggestion Box,Closed,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Food Security and Livelihoods,Request for Assistances,Suggestion Box,Closed,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Food Security and Livelihoods,Request for Assistances,Suggestion Box,Closed,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Food Security and Livelihoods,Thank you note,Suggestion Box,Closed,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Food Security and Livelihoods,Thank you note,Suggestion Box,Closed,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Food Security and Livelihoods,Thank you note,Suggestion Box,Closed,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Food Security and Livelihoods,Thank you note,Suggestion Box,Closed,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Food Security and Livelihoods,Request for Assistances,Suggestion Box,Closed,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Food Security and Livelihoods,Information/Report,Suggestion Box,Closed,Sigi,Kinovaro,,-0.9456533,119.811766
Mar/19,STC,Food Security and Livelihoods,Request for Assistances,Suggestion Box,Closed,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Food Security and Livelihoods,Request for Assistances,Suggestion Box,Closed,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Food Security and Livelihoods,Request for Assistances,Suggestion Box,Closed,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Food Security and Livelihoods,Information/Report,Suggestion Box,Closed,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Food Security and Livelihoods,Request for Assistances,Suggestion Box,Closed,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Food Security and Livelihoods,Request for Assistances,Suggestion Box,Closed,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Food Security and Livelihoods,Request for Assistances,Suggestion Box,Closed,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Food Security and Livelihoods,Request for Assistances,Suggestion Box,Closed,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Food Security and Livelihoods,Thank you note,Suggestion Box,Closed,Sigi,Kulawi,,-1.511248,119.882325
Mar/19,STC,Food Security and Livelihoods,Thank you note,Suggestion Box,Closed,Sigi,Kulawi,,-1.511248,119.882325
Mar/19,STC,Food Security and Livelihoods,Information/Report,Suggestion Box,Closed,Sigi,Kulawi,,-1.511248,119.882325
Mar/19,STC,Food Security and Livelihoods,Thank you note,Suggestion Box,Closed,Sigi,Kulawi,,-1.511248,119.882325
Mar/19,STC,Food Security and Livelihoods,Thank you note,Suggestion Box,Closed,Sigi,Kulawi,,-1.511248,119.882325
Mar/19,STC,Food Security and Livelihoods,Thank you note,Suggestion Box,Closed,Sigi,Kulawi,,-1.511248,119.882325
Mar/19,STC,Food Security and Livelihoods,Information/Report,Suggestion Box,Closed,Sigi,Kulawi,,-1.511248,119.882325
Mar/19,STC,Food Security and Livelihoods,Thank you note,Suggestion Box,Closed,Sigi,Kulawi,,-1.511248,119.882325
Mar/19,STC,Food Security and Livelihoods,Thank you note,Suggestion Box,Closed,Sigi,Kulawi,,-1.511248,119.882325
Mar/19,STC,Food Security and Livelihoods,Thank you note,Suggestion Box,Closed,Sigi,Kulawi,,-1.511248,119.882325
Mar/19,STC,Food Security and Livelihoods,Thank you note,Suggestion Box,Closed,Sigi,Kulawi,,-1.511248,119.882325
Mar/19,STC,Food Security and Livelihoods,Thank you note,Suggestion Box,Closed,Sigi,Kulawi,,-1.511248,119.882325
Mar/19,STC,Food Security and Livelihoods,Thank you note,Suggestion Box,Closed,Sigi,Kulawi,,-1.511248,119.882325
Mar/19,STC,Food Security and Livelihoods,Request for Assistances,Suggestion Box,Closed,Sigi,Kulawi,,-1.511248,119.882325
Mar/19,STC,Food Security and Livelihoods,Thank you note,Suggestion Box,Closed,Sigi,Kulawi,,-1.511248,119.882325
Mar/19,STC,Food Security and Livelihoods,Thank you note,Suggestion Box,Closed,Sigi,Kulawi,,-1.511248,119.882325
Mar/19,STC,Food Security and Livelihoods,Request for Assistances,Suggestion Box,Closed,Sigi,Kulawi,,-1.511248,119.882325
Mar/19,STC,Food Security and Livelihoods,Thank you note,Suggestion Box,Closed,Sigi,Kulawi,,-1.511248,119.882325
Mar/19,STC,Food Security and Livelihoods,Thank you note,Suggestion Box,Closed,Sigi,Kulawi,,-1.511248,119.882325
Mar/19,STC,Food Security and Livelihoods,Thank you note,Suggestion Box,Closed,Sigi,Kulawi,,-1.511248,119.882325
Mar/19,STC,Food Security and Livelihoods,Thank you note,Suggestion Box,Closed,Sigi,Kulawi,,-1.511248,119.882325
Mar/19,STC,Food Security and Livelihoods,Thank you note,Suggestion Box,Closed,Sigi,Kulawi,,-1.511248,119.882325
Mar/19,STC,Food Security and Livelihoods,Request for Assistances,Suggestion Box,Closed,Sigi,Kulawi,,-1.511248,119.882325
Mar/19,STC,Food Security and Livelihoods,Thank you note,Suggestion Box,Closed,Sigi,Kulawi,,-1.511248,119.882325
Mar/19,STC,Food Security and Livelihoods,Thank you note,Suggestion Box,Closed,Sigi,Kulawi,,-1.511248,119.882325
Mar/19,STC,Food Security and Livelihoods,Thank you note,Suggestion Box,Closed,Sigi,Kulawi,,-1.511248,119.882325
Mar/19,STC,Food Security and Livelihoods,Thank you note,Suggestion Box,Closed,Sigi,Kulawi,,-1.511248,119.882325
Mar/19,STC,Food Security and Livelihoods,Thank you note,Suggestion Box,Closed,Sigi,Kulawi,,-1.511248,119.882325
Mar/19,STC,Food Security and Livelihoods,Thank you note,Suggestion Box,Closed,Sigi,Kulawi,,-1.511248,119.882325
Mar/19,STC,Water and Sanitation,Request for Assistances,Phone Call/Hotline,Closed,Donggala,Sindue,,-0.5653651,119.851289
Mar/19,STC,Food Security and Livelihoods,Request for Assistances,Helpdesk,Closed,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Food Security and Livelihoods,Request for Assistances,Helpdesk,Closed,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Food Security and Livelihoods,Request for Assistances,Helpdesk,Closed,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Food Security and Livelihoods,Information/Report,Helpdesk,Closed,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Food Security and Livelihoods,Information/Report,Helpdesk,Closed,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Food Security and Livelihoods,Request for Assistances,Helpdesk,Closed,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Food Security and Livelihoods,Request for Assistances,Helpdesk,Closed,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Food Security and Livelihoods,Request for Assistances,Helpdesk,Closed,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Food Security and Livelihoods,Request for Assistances,Helpdesk,Closed,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Food Security and Livelihoods,Request for Assistances,Helpdesk,Closed,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Food Security and Livelihoods,Request for Assistances,Helpdesk,Closed,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Food Security and Livelihoods,Information/Report,Helpdesk,Closed,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Food Security and Livelihoods,Request for Assistances,Helpdesk,Closed,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Food Security and Livelihoods,Request for Assistances,Helpdesk,Closed,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Food Security and Livelihoods,Request for Assistances,Helpdesk,Closed,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Food Security and Livelihoods,Request for Assistances,Helpdesk,Closed,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Food Security and Livelihoods,Request for Assistances,Helpdesk,Closed,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Food Security and Livelihoods,Request for Assistances,Helpdesk,Closed,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Food Security and Livelihoods,Request for Assistances,Helpdesk,Closed,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Food Security and Livelihoods,Request for Assistances,Helpdesk,Closed,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Food Security and Livelihoods,Request for Assistances,Helpdesk,Closed,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Food Security and Livelihoods,Request for Assistances,Helpdesk,Closed,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Food Security and Livelihoods,Request for Assistances,Helpdesk,Closed,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Food Security and Livelihoods,Request for Assistances,Helpdesk,Closed,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Food Security and Livelihoods,Request for Assistances,Helpdesk,Closed,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Food Security and Livelihoods,Information/Report,Helpdesk,Closed,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Food Security and Livelihoods,Request for Assistances,Helpdesk,Closed,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Food Security and Livelihoods,Request for Assistances,Helpdesk,Closed,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Food Security and Livelihoods,Request for Assistances,Helpdesk,Closed,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Food Security and Livelihoods,Request for Assistances,Helpdesk,Closed,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Food Security and Livelihoods,Request for Assistances,Helpdesk,Closed,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Food Security and Livelihoods,Request for Assistances,Helpdesk,Closed,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Food Security and Livelihoods,Request for Assistances,Helpdesk,Closed,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Food Security and Livelihoods,Request for Assistances,Helpdesk,Closed,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Food Security and Livelihoods,Request for Assistances,Helpdesk,Closed,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Food Security and Livelihoods,Information/Report,Helpdesk,Closed,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Food Security and Livelihoods,Request for Assistances,Helpdesk,Closed,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Food Security and Livelihoods,Request for Assistances,Helpdesk,Closed,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Water and Sanitation,Request for Assistances,Suggestion Box,Closed,Donggala,Banawa,,-0.7373055,119.755588
Mar/19,STC,Protection,Request for Assistances,Suggestion Box,Closed,Donggala,Banawa,,-0.7373055,119.755588
Mar/19,STC,Protection,Thank you note,Suggestion Box,Closed,Donggala,Banawa,,-0.7373055,119.755588
Mar/19,STC,Protection,Thank you note,Suggestion Box,Closed,Donggala,Banawa,,-0.7373055,119.755588
Mar/19,STC,Protection,Thank you note,Suggestion Box,Closed,Donggala,Banawa,,-0.7373055,119.755588
Mar/19,STC,Protection,Thank you note,Suggestion Box,Closed,Donggala,Banawa,,-0.7373055,119.755588
Mar/19,STC,Protection,Request for Assistances,Suggestion Box,Closed,Donggala,Banawa,,-0.7373055,119.755588
Mar/19,STC,Protection,Thank you note,Suggestion Box,Closed,Donggala,Banawa,,-0.7373055,119.755588
Mar/19,STC,Protection,Thank you note,Suggestion Box,Closed,Donggala,Banawa,,-0.7373055,119.755588
Mar/19,STC,Protection,Information/Report,Suggestion Box,Closed,Donggala,Banawa,,-0.7373055,119.755588
Mar/19,STC,Protection,Information/Report,Suggestion Box,Closed,Donggala,Banawa,,-0.7373055,119.755588
Mar/19,STC,Protection,Request for Assistances,Suggestion Box,Closed,Donggala,Banawa,,-0.7373055,119.755588
Mar/19,STC,Protection,Request for Assistances,Suggestion Box,Closed,Donggala,Banawa,,-0.7373055,119.755588
Mar/19,STC,Protection,Information/Report,Suggestion Box,Closed,Donggala,Labuan,,-0.6088944,119.907215
Mar/19,STC,Protection,Request for Assistances,Suggestion Box,Closed,Donggala,Labuan,,-0.6088944,119.907215
Mar/19,STC,Protection,Information/Report,Suggestion Box,Closed,Donggala,Labuan,,-0.6088944,119.907215
Mar/19,STC,Protection,Thank you note,Suggestion Box,Closed,Donggala,Labuan,,-0.6088944,119.907215
Mar/19,STC,Protection,Request for Assistances,Suggestion Box,Closed,Donggala,Labuan,,-0.6088944,119.907215
Mar/19,STC,Protection,Thank you note,Suggestion Box,Closed,Donggala,Labuan,,-0.6088944,119.907215
Mar/19,STC,Protection,Information/Report,Suggestion Box,Closed,Donggala,Labuan,,-0.6088944,119.907215
Mar/19,STC,Protection,Thank you note,Suggestion Box,Closed,Donggala,Labuan,,-0.6088944,119.907215
Mar/19,STC,Protection,Request for Assistances,Suggestion Box,Closed,Donggala,Labuan,,-0.6088944,119.907215
Mar/19,STC,Protection,Request for Assistances,Suggestion Box,Closed,Donggala,Labuan,,-0.6088944,119.907215
Mar/19,STC,Protection,Request for Assistances,Suggestion Box,Closed,Donggala,Labuan,,-0.6088944,119.907215
Mar/19,STC,Protection,Request for Assistances,Suggestion Box,Closed,Donggala,Labuan,,-0.6088944,119.907215
Mar/19,STC,Protection,Request for Assistances,Suggestion Box,Closed,Donggala,Labuan,,-0.6088944,119.907215
Mar/19,STC,Protection,Request for Assistances,Suggestion Box,Closed,Donggala,Labuan,,-0.6088944,119.907215
Mar/19,STC,Shelter and NFI,Thank you note,Suggestion Box,Closed,Donggala,Sindue,,-0.5653651,119.851289
Mar/19,STC,Shelter and NFI,Information/Report,Suggestion Box,Closed,Donggala,Sindue,,-0.5653651,119.851289
Mar/19,STC,Shelter and NFI,Thank you note,Suggestion Box,Closed,Donggala,Sindue,,-0.5653651,119.851289
Mar/19,STC,Shelter and NFI,Thank you note,Suggestion Box,Closed,Donggala,Sindue,,-0.5653651,119.851289
Mar/19,STC,Shelter and NFI,Thank you note,Suggestion Box,Closed,Donggala,Sindue,,-0.5653651,119.851289
Mar/19,STC,Shelter and NFI,Thank you note,Suggestion Box,Closed,Donggala,Sindue,,-0.5653651,119.851289
Mar/19,STC,Shelter and NFI,Thank you note,Suggestion Box,Closed,Donggala,Sindue,,-0.5653651,119.851289
Mar/19,STC,Shelter and NFI,Thank you note,Suggestion Box,Closed,Donggala,Sindue,,-0.5653651,119.851289
Mar/19,STC,Shelter and NFI,Thank you note,Suggestion Box,Closed,Donggala,Sindue,,-0.5653651,119.851289
Mar/19,STC,Shelter and NFI,Thank you note,Suggestion Box,Closed,Donggala,Sindue,,-0.5653651,119.851289
Mar/19,STC,Shelter and NFI,Thank you note,Suggestion Box,Closed,Donggala,Sindue,,-0.5653651,119.851289
Mar/19,STC,Shelter and NFI,Thank you note,Suggestion Box,Closed,Donggala,Sindue,,-0.5653651,119.851289
Mar/19,STC,Shelter and NFI,Thank you note,Suggestion Box,Closed,Donggala,Sindue,,-0.5653651,119.851289
Mar/19,STC,Shelter and NFI,Thank you note,Suggestion Box,Closed,Donggala,Sindue,,-0.5653651,119.851289
Mar/19,STC,Shelter and NFI,Request for Assistances,Suggestion Box,Closed,Donggala,Sindue,,-0.5653651,119.851289
Mar/19,STC,Shelter and NFI,Request for Assistances,Suggestion Box,Closed,Donggala,Sindue,,-0.5653651,119.851289
Mar/19,STC,Shelter and NFI,Information/Report,Suggestion Box,Closed,Donggala,Sindue,,-0.5653651,119.851289
Mar/19,STC,Shelter and NFI,Information/Report,Phone Call/Hotline,Closed,Sigi,Kulawi,,-1.511248,119.882325
Mar/19,STC,Shelter and NFI,Thank you note,Phone Call/Hotline,Closed,Sigi,Kulawi,,-1.511248,119.882325
Mar/19,STC,Shelter and NFI,Request for Assistances,Phone Call/Hotline,Closed,Donggala,Sindue,,-0.5653651,119.851289
Apr/19,STC,Food Security and Livelihoods,Request for Assistances,Face to face,Closed,Donggala,Sindue,,-0.5653651,119.851289
Apr/19,STC,Health and Nutrition,Information/Report,Face to face,Closed,Donggala,Banawa,,-0.7373055,119.755588
Apr/19,STC,Health and Nutrition,Information/Report,Suggestion Box,Closed,Palu,Mantikulore,,-0.8550597,119.954646
Apr/19,STC,Health and Nutrition,Thank you note,Suggestion Box,Closed,Palu,Mantikulore,,-0.8550597,119.954646
Apr/19,STC,Health and Nutrition,Thank you note,Suggestion Box,Closed,Palu,Mantikulore,,-0.8550597,119.954646
Apr/19,STC,Health and Nutrition,Thank you note,Suggestion Box,Closed,Palu,Mantikulore,,-0.8550597,119.954646
Apr/19,STC,Health and Nutrition,Thank you note,Suggestion Box,Closed,Palu,Mantikulore,,-0.8550597,119.954646
Apr/19,STC,Health and Nutrition,Thank you note,Suggestion Box,Closed,Palu,Mantikulore,,-0.8550597,119.954646
Apr/19,STC,Health and Nutrition,Thank you note,Suggestion Box,Closed,Donggala,Banawa,,-0.7373055,119.755588
Apr/19,STC,Health and Nutrition,Thank you note,Suggestion Box,Closed,Palu,Mantikulore,,-0.8550597,119.954646
Apr/19,STC,Health and Nutrition,Thank you note,Suggestion Box,Closed,Palu,Mantikulore,,-0.8550597,119.954646
